,etat,marque,adresse,region,prix,description,image_links
33,Venant,Samsung,Plateau,Dakar,480000 ,Samsung galaxy Fold 4 256giga en très bon état excellent état neuf vrak sans la boîte venant usa 🇺🇸 Avec garantie 1an vous pouvez également échanger vos téléphones aussi iwbep.com,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/45dc498066d966819d53170261e068ed/-/horizon-files-prod/ed/picture/q6xk2064/72b2c7cd416d49e7726ff963b962fa38bfd07b2e.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c453917451c534d46b011ce5ae51749/-/horizon-files-prod/ed/picture/q6xk2064/3dbc7904efae223c28b93752bf2478f11b867e2a.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/ce909cc879a2489699d12b63be433991/-/horizon-files-prod/ed/picture/q6xk2064/72b2c7cd416d49e7726ff963b962fa38bfd07b2e.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/8b3e8b42e7f76d36cb6b16d3b828431a/-/horizon-files-prod/ed/picture/q6xk2064/3dbc7904efae223c28b93752bf2478f11b867e2a.jpg', nan]"
34,Neuf,Samsung,Colobane,Dakar,95000 ,"Samsung Galaxy A15
Affichage : SuperAMOLED 6,5pouces (2 400 x 1 080 pixels),
fréquence de rafraîchissement à 90 Hz pour la variante LTE - Taux de rafraîchissement de 120 Hz pour la variante 4G
Processeur : Qualcomm Snapdragon 720G - Muflier 750G
Mémoire RAM : 4Go
Stockage interne : 128Go extensible via microSD
Caméra arrière :
Principal : 50+5MP+2MP FOV 81 °, 0,8 µm, OIS
Grand angle: 13mégapixels, FOV 123 °, 1,12 µm
Macro : 5 mégapixels, FOV 78 °, 1,12 µm
Profondeur : 2 mégapixels, champ de vision 85 °, 1,12 µm
Caméra frontale : 13mégapixels
Connectivité : double SIM, Bluetooth 5.x, NFC, USB Type-C
Batterie : 5000 mAh avec charge rapide d'au moins 25 W
Autre : certification IP67","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a1f0d442b17039d51a441ab8b307fad/-/horizon-files-prod/ed/picture/qkrgd4kx/720bc34168562e6b57bfde2497ff1ece272842c8.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/b270a0b5bbfe28fa287053b60831c80e/-/horizon-files-prod/ed/picture/qkrgd4kx/8373b68339c79b44e00be5da4d820926d382ffd2.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/6fd0915b77c0f970dd6cfa9eb34ab538/-/horizon-files-prod/ed/picture/qkrgd4kx/75c5654d017f310c8a39b4bfdf5ca7398a8ece34.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/c166068dbdf7a9bf5bfeacce4dabb88f/-/horizon-files-prod/ed/picture/qkrgd4kx/720bc34168562e6b57bfde2497ff1ece272842c8.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/3c8b7d9fd58f5b620f64daa638ddee77/-/horizon-files-prod/ed/picture/qkrgd4kx/8373b68339c79b44e00be5da4d820926d382ffd2.jpg']"
35,Neuf,Samsung,Sicap Liberté,Dakar,620000 ,Bonjour je vend un Samsung galaxy s23 ultra 512 go ram 12 go 2sim neuf disponible à bon prix,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/df9d82194f49f7d3528a483a2d76a2a4/-/horizon-files-prod/ed/picture/qzvdqdmk/7f8583f194d56e97659cdff0b7eab5e64b149a3f.jpg', nan, nan, nan, nan]"
36,Neuf,Samsung,Pikine,Dakar,580 ,"Samsung galaxie S23 ultra
512GB 12GB ram sim esim
Snap dragon 8Gen2
Endurantendu avec facture","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/b579734d40627c3d732e4e198f4eed1c/-/horizon-files-prod/ed/picture/q6xk5206/bf18dcd0a84e2c7b17ef7406ec842ed2b86ef4c7.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/306ea07e2796c1114f0fa46897d494d4/-/horizon-files-prod/ed/picture/q6xk5206/851e8974982dc9e3f2f55a1b65265f02e9dcd1ec.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/aa178f38238b0ccc1056f75a23dc785d/-/horizon-files-prod/ed/picture/q6xk5206/d5bcd2e875f40ae3528b18e4a7116c4fbf2bb135.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0e497d557e191d5bc88f0a10d82d894/-/horizon-files-prod/ed/picture/q6xk5206/c6131af09295dd127876bd88984a1bc33f85bf38.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/7cee326de99c098dd8338ad550c7cb51/-/horizon-files-prod/ed/picture/q6xk5206/e20ead034bd31b910ea8e2f731dbd726d08e191f.jpg']"
37,Neuf,Samsung,Pikine,Dakar,580 ,"Samsung galaxie S23 ultra
256GB 8GB ram 2sim
Scellé importe","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/a320dec19e6ab58a629f7b46f3ca5d51/-/horizon-files-prod/ed/picture/qngxkmkr/2b484db0160ad95daed84ecc14ba7d8ceac8249b.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/dbe20b54cf7525e02f8ffd00f3bfee95/-/horizon-files-prod/ed/picture/qngxkmkr/a5e3898d79c727880f1df3b4381a1ac3e1f71b5a.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/7591a9eca729f0fcb1eb480a0d80e3a8/-/horizon-files-prod/ed/picture/qngxkmkr/997d54a21b6993987e8eee95447376748c6dde8c.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/d34688d8ef7ca657eba54fcbc6be7ea4/-/horizon-files-prod/ed/picture/qngxkmkr/bbe41ed2f515ecc8f7d127207ad5f64402cae726.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/76b3098bd6ccfcda7c20ebaf1f94f072/-/horizon-files-prod/ed/picture/qngxkmkr/2b484db0160ad95daed84ecc14ba7d8ceac8249b.jpg']"
38,Neuf,Samsung,Pikine,Dakar,320 ,"Samsung galaxie S23
256GB 8GB ram sim esim
Qualcomm snap dragon 8Gen2 Endurant
État neuf sans boîte vendu avec facture","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/2badef202f397f4cafea29612db1bcbd/-/horizon-files-prod/ed/picture/qv4e0708/4a3513cef7373f94cf6829e82bf70d795478a5c6.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/48782353eb5557c637ab39851a6ab251/-/horizon-files-prod/ed/picture/qv4e0708/87470f03caeb3c259e3e457127f023d8708a3296.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/7bfb986e1427dfa836e0aff2142f67a7/-/horizon-files-prod/ed/picture/qv4e0708/451c07c206a3cde7bc40b3930a6b88196e3779a8.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/ecef3eea09157f599d26b06999f8156e/-/horizon-files-prod/ed/picture/qv4e0708/3c8f0dcd44fc22617758fbe2a46b10a0d5756f05.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c97edbffaac6702877cd24f603e81d6/-/horizon-files-prod/ed/picture/qv4e0708/64ef48b9581597e0783dd75a413f107ca8a941b1.jpg']"
39,Neuf,Google,Pikine,Dakar,550000 ,"Google pixel 8 pro
128GB 12GB ram sim esim
G3 ANDROID 14 MISA JOURS 7ANS/ IMPORTER USAENDU AVEC FACTURE","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/39cc5b9328fdacceaefa65260126eb9d/-/horizon-files-prod/ed/picture/q785dedz/60bd0d202686383cb924d011944a2743892349cf.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9fff640c26cea95009cf88daf8ca414/-/horizon-files-prod/ed/picture/q785dedz/17f2e1c608486fc59a5178512109d66ef5e6ea07.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/5dcd42b4afdf8802581472914bb818b9/-/horizon-files-prod/ed/picture/q785dedz/7188d484fc391d3c244c6954e8f36527c643a794.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/7592ed820a6f294101359b9f21692762/-/horizon-files-prod/ed/picture/q785dedz/dc99063566ebaf2761491291572ff3be977b7c07.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/d6aebb4049e00a4650927518c7555af6/-/horizon-files-prod/ed/picture/q785dedz/60bd0d202686383cb924d011944a2743892349cf.jpg']"
40,Venant,iPhone,Plateau,Dakar,180000 ,Apple watch Serie 8 45mm Noir batterie 100%,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/9cf4772be33976abeefa1de6dc63baea/-/horizon-files-prod/ed/picture/qngxk65k/f4ea3da847823b573bcd77191c00c76d06820c15.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/f71bd70433a31710572b0d68e175a3c2/-/horizon-files-prod/ed/picture/qngxk65k/4c4e43d7b7646e8471c56659f4d01675dbbe3715.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/a6596eff463b0fe00b58906362683e7e/-/horizon-files-prod/ed/picture/qngxk65k/22186305d47a0284208643910d4a5d73ea12d47c.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca58d4b5226b67613e0631081d64a816/-/horizon-files-prod/ed/picture/qngxk65k/6b6c5fd0b73fedc730997f966989c9c5b7635925.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/76432462573e07dde8d397e0a72b6c4c/-/horizon-files-prod/ed/picture/qngxk65k/f4ea3da847823b573bcd77191c00c76d06820c15.jpg']"
41,Venant,iPhone,Médina,Dakar,215000 ,"Dioufy_apple_store vous présente sa large gamme de produits authentiques des iPhone 12 simple avec 64 go disponible
livraison express","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba73b3751f7194b5aed292b4240b0983/-/horizon-files-prod/ed/picture/qm5pkxjw/29ae50171e892ab5939e9e81fa9135529d0535df.jpg', nan, nan, nan, nan]"
42,Neuf,iPhone,Médina,Dakar,250000 ,12 64GO - Neuf Scellés - Idéal pour cadeauToutes les couleurs sont disponiblesFacture et GarantieCadeau: Pochette ou Blindé offert📍Adresse :⁠ MÉDINA au niveau hôpital abass ndao (SENELEC MÉDINA)⁠KEUR MASSAR au niveau du Rond-point (en face Station Shell⁠ RUFISQUE au niveau de la gare 🚉,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/332698bfe7b960247980a8e42b5ba969/-/horizon-files-prod/ed/picture/qq47kj5v/853cdf948d78d75a33e9c43b961596af650d1c1b.jpg', nan, nan, nan, nan]"
