,etat,marque,adresse,region,prix,description,image_links
10,Neuf,Samsung,Plateau,Dakar,650000 ,TV SMART TV SAMSUNG 65 POUCES BU8000 WIFI 4K HDM USB 164 CM CRISTAL UHD TRÈS BELLE IMAGE AVEC GARANTIE MOIS SAV ANNÉE 2022 TRÈS SILIM PROMOTIONS STOCK DE LIMITÉ LIVRAISON DANS HEURES A DAKAR INCHA ALLA NOUS LIVERE DANS TOUTE LES DÉPARTEMENTS DU SÉNÉGAL DANS 24 HEURES DISPONIBLE WESTPOOL 65 POUCES E LG 65 POUCES NOUS SOMMES DANS LA VOTRE DISPOSITION POUR TOUTE QUESTION CONCERNANT VOTRE DEMANDE,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/a5edeee9780da962a9807669a8467aea/-/horizon-files-prod/ed/picture/q0ggwpdj/c59385074b98103c602f0d7d3f664cc8972f1df5.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/839972dfb21db2c81e947fe5bdc20b9b/-/horizon-files-prod/ed/picture/q0ggwpdj/24d2e33468d97398d03416366d6b46198fd3741f.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/3e28c042cc8f2ebc8ab6a59599a69f75/-/horizon-files-prod/ed/picture/q0ggwpdj/8eda9ccc0097fd8a462abb2858d5107164b969af.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/fa59ce0f84c9d6c89f6bb1698bc517be/-/horizon-files-prod/ed/picture/q0ggwpdj/c59385074b98103c602f0d7d3f664cc8972f1df5.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/faa7f58c02862f7263ab2a245f9a033d/-/horizon-files-prod/ed/picture/q0ggwpdj/24d2e33468d97398d03416366d6b46198fd3741f.jpg']"
11,Neuf,Astech,Plateau,Dakar,130000 ,SMART TV ASTECH 32 POUCES WIFI NETFLIX YOUTUBE USB HDM 80 CM TRÈS BELLE IMAGES GARANTIE 12 MOIS SAV LIVRAISON RAPIDE ET EFFICACE DANS HEURES INCHA ALLAH A DAKAR NOUS SOMMES DANS LA VOTRE DISPOSITION POUR TOUTE QUESTION CONCERNANT VOTRE DEMANDE NOUS LIVERE À TOUTE LES DÉPARTEMENTS DU SÉNÉGAL DISPONIBLE TV LED 32 POUCES DISPONIBLE SAMSUNG LG ASTECH AIWA ELACTRON SMART TV TV LED HIER,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/a5baa29399a46e98776c031ee2c87ab0/-/horizon-files-prod/ed/picture/q2jqdeee/ef2902ba0fab74a0f275c90176a427797f33ed68.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b0b4cf0180e8fcfdc272afec4299b45/-/horizon-files-prod/ed/picture/q2jqdeee/3cb03bb3fdcd979108098a61eb82e57e3375af5d.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/c863e69efc92a66a4dce84d4dba72a43/-/horizon-files-prod/ed/picture/q2jqdeee/ef2902ba0fab74a0f275c90176a427797f33ed68.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/3613f5f81e50478a0c80a66dc92009d3/-/horizon-files-prod/ed/picture/q2jqdeee/3cb03bb3fdcd979108098a61eb82e57e3375af5d.jpg', nan]"
12,Neuf,Samsung,Plateau,Dakar,600000 ,SMART TV SAMSUNG 65 POUCES WIFI 4K YOUTUBE NETFLIX ANDROID UHD 167 CM HDM USB TRÈS BONNE QUALITÉ GARANTIE 12 MOIS SAV EN PROMOTION STOCK,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/75759a9f91b663d34701effdf6e42fa8/-/horizon-files-prod/ed/picture/q42mppe/465c0c43955d078450d69731cc807efc039d663a.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/01f0ea92be71faa34934723500d11314/-/horizon-files-prod/ed/picture/q42mppe/8a5534b5ca72023e0c2cf61e5fa0b4dec369f5e8.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/4a4315d6b3a5470ab948f9ee0e053937/-/horizon-files-prod/ed/picture/q42mppe/465c0c43955d078450d69731cc807efc039d663a.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/15f2fd37c65909aa920a02bb4a9fde8d/-/horizon-files-prod/ed/picture/q42mppe/8a5534b5ca72023e0c2cf61e5fa0b4dec369f5e8.jpg', nan]"
13,Neuf,Astech,Plateau,Dakar,650000 ,SMART TV ASTECH POUCES WIFI ANDROID 4K UHD USB HDM 189 CM ET TRÈS BELLE IMAGES GARANTIE 12 MOIS SAV PROMOTIONS STOCK LIMITÉ LIVRAISON RAPIDE ET EFFICACE DANS HEURES ENVIRON DE DAKAR NOUS LIVERE DANS TOUTE LES DÉPARTEMENTS DU SÉNÉGAL INCHA ALLAH DISPONIBLE ASTECH E SAMSUNG E LG 32 POUCES 43 POUCES 50 POUCES 55 POUCES 65 POUCES TRÈS BONNE PRIX LIVRAISON RAPIDE ET EFFICACE DANS 3 HEURES,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/34ee6b43973d7c6f269e32a18f0ca42c/-/horizon-files-prod/ed/picture/q7859w6n/91f21d57482cd9f14d268387025f7c6693671843.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/a19c7aa72ef33b203ab95d24115cc08f/-/horizon-files-prod/ed/picture/q7859w6n/46f6d8a777ef30e73695c67c75bd816149c204a3.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/dd8bf0e36fe289af9860bee68213e882/-/horizon-files-prod/ed/picture/q7859w6n/91f21d57482cd9f14d268387025f7c6693671843.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/949bf0d83061c4c7546840fe13bb3b6b/-/horizon-files-prod/ed/picture/q7859w6n/46f6d8a777ef30e73695c67c75bd816149c204a3.jpg', nan]"
14,Neuf,Astech,Plateau,Dakar,390000 ,"SMART TV LED ASTECH 65 POUCES WIFI ANDROID UHD 4K HDM USB NETFLIX YOUTUBE 163 CM TRÈS BELLE IMAGE ORIGINAL AVEC GARANTIE
EN PROMOTIONS STOCK
DISPONIBLE ASTECH 75 POUCES
DISPONIBLE ASTECH 55 POUCES WIFI
DISPONIBLE ASTECH 50 POUCES
DISPONIBLE ASTECH 43 POUCES
DISPONIBLE ASTECH 32 POUCES","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/a506d69adca72eaef8a6a4769ec62765/-/horizon-files-prod/ed/picture/q44858rr/9b70d21a53b0d442552907bca35f1cc9ca83d232.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/a61b0fa1815eb838810475541110c8db/-/horizon-files-prod/ed/picture/q44858rr/e883d9025ee15e3b97bb2f75767352f841f140a4.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/e3b6c06ec74542b49c65c74c76e8a0eb/-/horizon-files-prod/ed/picture/q44858rr/9b70d21a53b0d442552907bca35f1cc9ca83d232.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/beec2aa26055fb4af8a09d693ff7d55c/-/horizon-files-prod/ed/picture/q44858rr/e883d9025ee15e3b97bb2f75767352f841f140a4.jpg', nan]"
15,Neuf,Autre,Plateau,Dakar,110000 ,SMART TV WOW 32 POUCES 80 CM WIFI HDM NETFLIX YOUTUBE TRÈS BELLE IMAGE AVEC GARANTIE 12 MOIS SAV,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/1cad4a966a106475d9cf70eb9f2bdf25/-/horizon-files-prod/ed/picture/qkwggmw/e5ed3bbe57d55ef8899eaffef2b99f60a71f49ab.jpg', nan, nan, nan, nan]"
16,Neuf,Samsung,Plateau,Dakar,890000 ,Smart tv samsung75 pouces 189 cm WiFi YOUTUBE NETFLIX 4K avec un écran de très belle qualité économique énergie garantie mois sav livraison dans 3 heures environ à Dakar incha halla nous sommes dans la votre disposition pour toute question concernant votre demande disposition 32 pouces et 43 pouces 50 pouces 55 pouces 65 pouces,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/bbd9a75203815e3d717d35089fa9ffde/-/horizon-files-prod/ed/picture/qdewzmd5/2fc060f6e3604ed3944e31b150acc6a2eef56d5d.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a267a024a76bda32b54b1ff3c429809/-/horizon-files-prod/ed/picture/qdewzmd5/d4ff1e06293d0116ef5fe9683d100bd5f6d7d552.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/869bf78ff3a57f085fdb37379e9fd107/-/horizon-files-prod/ed/picture/qdewzmd5/1673eba15e4058840c99062aacac039bcc251e1a.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/a03ff9039f9ca044e1b96bc34b6a5f13/-/horizon-files-prod/ed/picture/qdewzmd5/905d75f35862e187f1a9fcaaf1b83e9e5ea92221.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/2e7b678489154df694b650bd4969f0e7/-/horizon-files-prod/ed/picture/qdewzmd5/2fc060f6e3604ed3944e31b150acc6a2eef56d5d.jpg']"
17,Neuf,Star,Médina,Dakar,55000 ,Le téléviseur écran plat de Star Track va transformer votre salon en un centre de divertissement multimédia. Les ports HDMI et USB; permettent la transmission à grande vitesse de données numériques haute définition à partir de plusieurs périphériques directement sur votre téléviseur,"['https://i.roamcdn.net/hz/ed/listing-thumb-543w/912deea0c84ac6838334632f1a50743c/-/horizon-files-prod/ed/picture/q566kd7g/ff74b7299972ae0964dd13a398d3b549bd2d8150.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/db484f7f36034d44a3b22c22e61642f6/-/horizon-files-prod/ed/picture/q566kd7g/d0c9461f6fb9f40ad1e7749d79bd2ff523de3343.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/c1431a848330489c0067ff864ac46b51/-/horizon-files-prod/ed/picture/q566kd7g/9db0d07160c7f47316294a30073048b1c0be7538.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/ada2589242245abe12613fc81cdfe436/-/horizon-files-prod/ed/picture/q566kd7g/ff74b7299972ae0964dd13a398d3b549bd2d8150.jpg', 'https://i.roamcdn.net/hz/ed/listing-gallery-thumb-100w/c03dc7a90f2c538f8a82d7ffeade8745/-/horizon-files-prod/ed/picture/q566kd7g/d0c9461f6fb9f40ad1e7749d79bd2ff523de3343.jpg']"
18,Neuf,Hisense,Castor,Dakar,100000 ,"BONJOUR NOUS LIQUIDONS DES SMART TV HISENSE
SMART TV 32 pouces à 75 pouces à vendre avec garantie","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/1095a214bcd715774c32b238976381ee/-/horizon-files-prod/ed/picture/q785mx5x/bce7152e00c53b25c664b5efdacc98f88c2eb2b3.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c99243aa1064ccee748fabb6c472770/-/horizon-files-prod/ed/picture/q785mx5x/92e408bfb3b36d409f511a01ce6b78648a20f7ed.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/0ab0fa7e009089e2b4bd855ae6acad17/-/horizon-files-prod/ed/picture/q785mx5x/52b0f7919427f2a5996b5be293ca78bac47bdb7a.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f038bab7c078026412ca12ba1d5379d/-/horizon-files-prod/ed/picture/q785mx5x/2ab3f841e37cbaacf371f702218d08155f18b714.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc3bd6d720a0362e3a25ec463f99d689/-/horizon-files-prod/ed/picture/q785mx5x/2cd652fb9d50163b8fbeec9dca55f7648ad10aff.jpg']"
19,Neuf,Star,Médina,Dakar,85000 ,"Type : TV LED SMART
Ecran : LCD
Taille d'écran: 32 pouces
Résolution: HD1080
Clé USB : Oui
HDMI : Oui
Alimentation : AC100-240V DC12V
Processeur quatre coeurs
Androïd
Ram Ultra rapide
Stockage supplémentaire
Full HD 1080p","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/68c01e993174bf88f4d0a30698736f29/-/horizon-files-prod/ed/picture/qxj2xxzm/0820c912ea26f59c790de70f30bd209ac6a8771d.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/0666648570d9a1b8bcd7d472ec00f78e/-/horizon-files-prod/ed/picture/qxj2xxzm/e558694daa9b0b0797b6a393953e8c3fbb966cdf.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/12dfb9e068000b44b51165d5c8fca597/-/horizon-files-prod/ed/picture/qxj2xxzm/a3416c126ec835591d3e38ddb6a5bab43822de24.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/21995221aa81752ee8d136af21dd2b10/-/horizon-files-prod/ed/picture/qxj2xxzm/4dbac51688d316bcab5312e7cf319087a5d02bb2.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/106dc3f7c3837387cde26a924557bec4/-/horizon-files-prod/ed/picture/qxj2xxzm/97abd3b158beb34959044b0033f53d9af97a39f7.jpg']"
