,etat,marque,adresse,region,prix,description,image_links
10,D'occasion,Acer,Gueule-Tapée,Dakar,55000 ,"Ordinateurs complets avec écran 19"" en ACER et HP selon stock : Core i5 , 4 go de mémoire Ram extensible à 8go , disque dur 500 go. Wifi en option . Windows 10 Pro, Office, Antivirus etc... prêt à l'emploi. Machines puissantes idéales pour transfère d'argent, multiservices et tous travaux de bureau et d'internet. Tout nos produits sont garantis.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/40287810191bef8c289256a411aaa56d/-/horizon-files-prod/ed/picture/qnzvm8w/ec4b0e8affc1ab3e8362b4912be7c8015a1a00bd.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c21b92f0c1555bae14b0aac3eb7fab7/-/horizon-files-prod/ed/picture/qnzvm8w/3a8da552c1a446bede9129ce5ea932d5579e66a1.jpg']"
11,Venant,Lenovo,Médina,Dakar,225000 ,"Voici les spécifications pour le Lenovo X1 Yoga avec un processeur Intel Core i5 de 7ème génération:Processeur: Intel Core i5 de 7ème génération
Poids: 1,36 kg
Dimensions: 333 mm x 229 mm x 17,05 mm
Écran: 14 pouces, 1920 x 1080 pixels
Mémoire vive: 16 Go DDR3
Stockage: 256 Go SSD
Carte graphique: Intel HD Graphics 620
Connectivité: Wi-Fi 802.11ac, Bluetooth 4.1
Ports: 3 ports USB 3.0, 1 port HDMI, 1 port Mini DisplayPort, 1 port Ethernet, 1 port audio
Système d'exploitation: Windows 10 Pro
Ecran tactile
Clavier rétroéclairé.
Etat presque neuf
Garantie 180 jours.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/2185e6162e5cddcb2845d36a2ccec173/-/horizon-files-prod/ed/picture/qj4r7jze/3c77d1b379ff7d18bad55e984a31e0c80fc720e1.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/56bb9eeb6211c1f9886b456718ac6ebb/-/horizon-files-prod/ed/picture/qj4r7jze/19600a3295623b970dd3bd79cf222ea64cb71582.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c4b9364c11f014e3b771f6882ba33d7/-/horizon-files-prod/ed/picture/qj4r7jze/9d9dd6cf4753db119de6832daf1019eb2939de3a.jpg']"
12,D'occasion,HP,Gueule-Tapée,Dakar,35000 ,"Ordinateurs complets en LENOVO, Dell et HP selon stock :Pentium Core 2 duo 2,6ghz à 3ghz , 2go de mémoire ram, 160 go de disque dur et écran 19 pouces .Disponibles aussi avec 4go de mémoire et 250Go de disque pour un petit supplément. Machines puissantes idéales pour transfert d'argent, multiservices et tous travaux de bureau et d'internet .TOUS NOS PRODUITS SONT GARANTIS.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/642d451d4c52ce4f680e0a24fe465dd3/-/horizon-files-prod/ed/picture/migrated/qgpp8pq/79e34c52b6278e0ed23141fde8c5663d5836cd0a.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b3641dc4a414ecb063fd09d4dbbf9ef/-/horizon-files-prod/ed/picture/migrated/qgpp8pq/57518919a3450968e7233e4d08b055332c51cc0d.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/234d314d159547a6fb19e4a9d3e5d011/-/horizon-files-prod/ed/picture/migrated/qgpp8pq/e436beb96b670018423a7b9ed6ff01fb2b62716c.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2f93c8fbf66fb6fd86a531c87542479/-/horizon-files-prod/ed/picture/migrated/qgpp8pq/281a70030df677a67d685838c2f3045df9391427.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/6002aad1e1e28eb70494da9547e5ec72/-/horizon-files-prod/ed/picture/migrated/qgpp8pq/429fa4532bc9e3005ee999e19e28149a40b92b1b.jpg']"
13,Venant,HP,Yoff,Dakar,60000 ,Je vends des unités centrales venant hp prodesk core i5 disque dur 500g ram 8g windows 11 prêt à l'emploi livraison possible,['https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0f5dca3f380db8965770159e4441dfe/-/horizon-files-prod/ed/picture/qj4rdn0r/b2370ba59f335aadd5cdaa876f70bc719b879c36.jpg']
14,Venant,HP,Liberte 2,Dakar,125000 ,"Promo HP probook 430 7th génération
Disque SSD 256 giga
Ram 8 giga
Taille 14 poucesendu sur Facture et garantie",['https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a7c8433bf4c1f39b4c18a96de070638/-/horizon-files-prod/ed/picture/q8v5nqv9/ba3e0abcee80aecd11da83e16d6ca8128acbb545.jpg']
15,Venant,Dell,Médina,Dakar,250000 ,"All-in-One Dell Optiplex 7460 23 pouce - Equipé d'un processeur Intel de 8ème génération (Intel Core i5), de 16 Go de mémoire et d'un chipset Intel graphique intégré, il offre d'excellentes performances, qu'il s'agisse de travail en multitâche ou de divertissement HD. Avec un disque dur SSD 256 Go extrêmement rapide, il offre à la fois la performance et la fiabilité
NB : TOUS NOS PRODUITS VIENNENT DES USA ET SONT GARANTIS 06 MOIS
LIVRAISON : 2000 SUR DAKAR",['https://i.roamcdn.net/hz/ed/listing-thumb-543w/052b5eb64d27b23fff5d99c122b08b3e/-/horizon-files-prod/ed/picture/q8v52j26/9d6b2cf84349e5a3a19a416a8683b43743d491cf.jpg']
16,Venant,HP,Médina,Dakar,150000 ,"🔥🔥🔥 ORDINATEUR DE BURAU HP ELITEDESK 800 G3 SFF
🅒🅐🅡🅐🅒🅣🅔́🅡🅘🅢🅣🅘🅠🅤🅔🅢
🟠 Processeur : Intel cor i7
🟢 Ram : 16 Go
🟠 Disque dur : 500 Go
🟢 Écran : 22 pouces
🟠Garantie : 6 mois
🟢Génération: 7ème
𝑵𝑩 : 𝑻𝑶𝑼𝑺 𝑵𝑶𝑺 𝑷𝑹𝑶𝑫𝑼𝑰𝑻𝑺 𝑽𝑰𝑬𝑵𝑵𝑬𝑵𝑻 𝑫𝑬𝑺 𝑼𝑺𝑨 𝑬𝑻 𝑺𝑶𝑵𝑻 𝑮𝑨𝑹𝑨𝑵𝑻𝑰𝑺 𝟎𝟔 𝑴𝑶𝑰𝑺",['https://i.roamcdn.net/hz/ed/listing-thumb-543w/08c8123ffc06bea8df7fe04b860f7aa0/-/horizon-files-prod/ed/picture/qdekz5jg/2888f8d54f3752f826ab2713b84e51e52e4e7dad.png']
17,Neuf,Apple,Gueule-Tapée,Dakar,245000 ,12simple 128G Promo Can chez Ly Business Service à la Gueule Tapée en face hôpital Élisabeth/ Toutes les couleurs sont disponibles,['https://i.roamcdn.net/hz/ed/listing-thumb-543w/b16352db29d949791e5ac8efa0b84ab3/-/horizon-files-prod/ed/picture/qenqjwxj/6f3269ca2ebf0e26370b42c7971139413facd806.jpg']
18,Venant,Lenovo,Plateau,Dakar,120000 ,"Venant des usa, état impeccable
processeur : intel core i3
ram : 8go
disque dur 500go
écran : 15,6 pouces
clavier avec pavé numérique
windows 10 et microsoft office installé ainsi que d'autres logiciels installésendu avec facture et garantie","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/02541d4e16a88b8687c95c086ac9ff25/-/horizon-files-prod/ed/picture/qrzv54n4/325bbc9c555e5a450db8963fbb270fbc886ad690.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/aab524048b85530468c5f51a8c080a81/-/horizon-files-prod/ed/picture/qrzv54n4/9958a146679167d3db4f1c12d9f3eef96f538e8c.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca9d66fd5df364780b3174e5e296ed20/-/horizon-files-prod/ed/picture/qrzv54n4/394e7040fd8cdfbded93b205b8ebfe86ec29293a.jpg']"
19,Venant,HP,Médina,Dakar,130000 ,"Venant des usa, hp 430 g3 i5 6th ram 8 disque 500 go hdd écran 13.3 pouces.
Plus d'articles Visitez notre showroom ou site ci-dessous.","['https://i.roamcdn.net/hz/ed/listing-thumb-543w/02725c09d849c8a731af17dee1c2991c/-/horizon-files-prod/ed/picture/qngxwxrx/ec61bfd7977a4d3b61232dfea6695ebd4b2d3e9c.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc186966ece9e34fc71661ac3399d712/-/horizon-files-prod/ed/picture/qngxwxrx/3ff9c9c1706c587903308d59457805c114745bab.jpg', 'https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9777514ae525e1e4a266092d88663d1/-/horizon-files-prod/ed/picture/qngxwxrx/7ff45b9b305fc8b2175241d4a0872b1815aae672.jpg']"
